id_fornecedor;cnpj_fornecedor;fornecedor
For01013;01130257000120;W NANDI E CIA LTDA
For01014;23980789000190;VALE DIAGNOSTICOS LTDA
For01015;01264836000166;POLIDERM COMERCIAL E DISTRIBUIDORA LTDA - ME
For01016;24399184000172;CIRURGICA PLENA PRODUTOS HOSPITALARES - EIRELI
For01017;34761779000180;NUCLEO COMERCIO DE PRODUTOS PARA SAUDE LTDA
For01018;18448863000191;V P SILVA BRINQUEDOS
For01019;02916028000107;FRADEL-MED INDUSTRIA E COMERCIO DE APARELHOS MEDICOS LTDA - EPP
For01020;90909631000110;INSTRAMED INDUSTRIA MEDICO HOSPITALAR LTDA
For01021;10853028000125;VIDA RESGATE COMERCIO DE PRODUTOS A.P.H. LTDA
For01022;14272952000179;VERA LUCIA FRANCISCA DOS SANTOS
For01023;23015239000130;SAO BERNARDO COMERCIO DE PRODUTOS PARA SAUDE EIRELI
For01024;27311107000107;SC MED DISTRIBUIDORA MEDICO HOSPITALAR LTDA
For01025;22654814000182;RAPHAEL GONCALVES NICESIO - ME
For01026;35186943000135;SINERGIA FARMACEUTICA LTDA
For01027;07009697000100;FARMALINTO COMERCIO DE MEDICAMENTOS LTDA
For01028;09240575000156;MARCA MAIOR DISTRIBUICAO LTDA
For01029;04050750000129;GARDENIA AZUL RIO TECH SERVICE LTDA
For01030;21600055000102;2A HOSPITALAR LTDA
For01031;83929976000170;R C ZAGALLO MARQUES & CIA LTDA EPP
For01032;04389760000193;PRADO PHARMA LTDA
For01033;12255403000160;IMEX MEDICAL COMERCIO E LOCACAO LTDA
For01034;10696551000195;HOLY MED COMERCIO DE PRODUTOS MEDICOS HOSPITALARES EIRELI - ME
For01035;12811919000144;FARMACIA FAMILIA LTDA - ME
For01036;05674440000148;ODONTOPLUS LTDA
For01037;25123729000186;PLACIDO- COMERCIO DE MATERIAIS CIRURGICOS E HOSPITALAR EIRELI
For01038;30754325000120;MEDSI DISTRIBUIDORA DE MEDICAMENTOS LTDA
For01039;31673254001095;LABORATORIOS B BRAUN SA
For01040;79430682014506;FARMACIA E DROGARIA NISSEI S.A.
For01041;83214833000182;PRONTOLAB EQUIPAMENTOS E PRODUTOS CIENTIFICOS LTDA
For01042;30223022000181;MULTI CLINICA CATARINA LTDA.
For01043;09610762000184;APROVADAGUA COMERCIO E CONFECCOES LTDA
For01044;03489799000110;TOLENTINO & CASTRO FARMACIA DE MANIPULACAO LTDA
For01045;39639612000164;RILAB COMERCIO ATACADISTA E IMPORTACAO E EXPORTACAO LTDA
For01046;85032019000172;POLYMEDICAL IMPORTACAO E COM DE PRODUTOS MEDICOS LTDA
For01047;18872656000160;INOVA COMERCIAL HOSPITALAR LTDA. - EPP
For01048;22391401000152;MEGA + FARMA COMERCIO DE MEDICAMENTOS LTDA
For01049;56998701003212;ABBOTT LABORATORIOS DO BRASIL LTDA
For01050;02507452000190;SC -BRINDES LTDA
For01051;69299360000132;DROGARIA BARAO EIRELI
For01052;34182886000153;SEVEN PRODUTOS LABORATORIAIS PARA DIAGNOSTICO LTDA
For01053;05888612000186;DISACRE COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS DE USO HUMANO LTDA
For01054;11226885000168;TORRES VALPORTO COMERCIO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA - ME
For01055;40802993000130;J. S. NUNES - EPP
For01056;10483434000143;CASA DAS FORMULAS FARMACIA E MANIPULACAO LTDA
For01057;35153207000180;ESSENCIA HOSPITALAR EIRELI
For01058;06366038000169;MAXIMA COMERCIO DE PRODUTOS HOSPITALARES LTDA
For01059;10729492000104;QUIMICENTER PRODUTOS PARA LABORATORIOS LTDA
For01060;60665981000622;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A
For01061;13345594000203;DROGAFORTE MEDICAMENTOS E PERFUMARIA LTDA
For01062;09615457000185;SODROGAS DISTRIBUIDORA DE MEDICAMENTOS E MATERIAIS MEDICO HOSPITALARES LTDA.
For01063;05964983000108;D & V COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME
For01064;74913278000196;PETINELI DISTRIBUIDORA DE MATERIAL MEDICO HOSPITALAR LTDA - ME
For01065;36780625000160;DROGARIA ALEGRIA LTDA
For01066;04797536000130;JOAO CARLOS ANACLETO
For01067;27817504000155;SP HOSPITALAR LTDA
For01068;08077211000134;T S COMERCIAL DE MEDICAMENTOS E REPRESENTACAO LTDA
For01069;61817664000132;NEWMED IMPORTADORA LTDA
For01070;24595557000180;AGIL PRODUTOS PARA SAUDE EIRELI - ME
For01071;40175705000164;C.E.I .- COM. EXPORT. E IMPORT. MATERIAL MED. LTDA
For01072;03948933000101;REPRESS DISTRIBUIDORA LTDA
For01073;10267695000126;MEDICALL FARMA DISTRIBUIDORA DE PRODUTOS MEDICOS E HOSPITALARES LTDA - ME
For01074;11311773000105;OKEY MED - DISTRIBUIDORA DE MEDICAMENTOS HOSPITALARES E ODOTOLOGICOS LTDA - ME
For01075;58538372000156;BIO-ART EQUIPAMENTOS ODONTOLOGICOS LTDA
For01076;82641325004377;CREMER S/A
For01077;31498120000194;BELLAMED PRODUTOS HOSPITALARES EIRELI
For01078;05211777000119;CAPERPASS INDUSTRIA E COMERCIO DE ARTIGOS PLASTICOS LTDA
For01079;12040718000190;GRADUAL COMERCIO E SERVICOS LTDA - ME
For01080;02357251000153;LIFEMED INDUSTRIAL DE EQUIPAMENTOS E ARTIGOS MEDICOS E HOSPITALARES S.A.
For01081;10692852000140;DESCARBOX EMBALAGENS LTDA. - ME
For01082;34396122000160;SC COMERCIO DE PRODUTOS HOSPITALARES EIRELI
For01083;00358519000146;RCC - DISTRIBUIDORA DE MEDICAMENTOS, CORRELATOS E PRODUTOS MEDICOS E HOSPITALARES
For01084;21783698000139;VISAO DISTRIBUIDORA DE MEDICAMENTOS LTDA - EPP
For01085;32649525000149;M C P COMERCIO ATACADISTA DE PRODUTOS HOSPITALARES - EIRELI
For01086;20758465000113;S. C. COMERCIAL EIRELI
For01087;24864422000173;C. E. CARVALHO - COMERCIAL
For01088;17507751000100;O DE SENA LTDA
For01089;00949616000103;FARMACIA FELIPE LTDA
For01090;04187384000154;LEISTUNG EQUIPAMENTOS LTDA.
For01091;25555046000106;DISTRIBUIDORA DOM CABRAL LTDA
For01092;13046855000103;MIRASSOL MED COMERCIO DE MEDICAMENTOS - EIRELI
For01093;10450805000190;FLUKKA FARMACIA DE MANIPULACAO LTDA - EPP
For01094;00085822000112;ESPECIFARMA COMÉRCIO DE MED. E PRODUTOS HOSPITALARES LTDA
For01095;07095372000198;TUCUMANTEL E TUCUMANTEL LTDA - ME
For01096;66000787000108;WAMA PRODUTOS PARA LABORATORIO LTDA
For01097;36325157000215;COSTA CAMARGO COM. DE PRODUTOS HOSPITALARES LTDA - EPP
For01098;81887838000655;PROFARMA SPECIALTY S.A
For01099;10696932000174;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA - ME
For01100;32534670000184;URBANOMED COMERCIO DE PRODUTOS HOSPITALARES EIRELI
For01101;13021891000104;CASA DA SOGRA COMERCIO VAREJISTA LTDA - ME
For01102;12419620000149;VIER PHARMA DISTRIBUIDORA HOSPITALAR, REPRESENTACAO E CONSULTORIA LTDA
For01103;04948894000105;GPACK ECO EMBALAGENS LTDA
For01104;60442241000112;SANESMAR COMÉRCIO DE PRODUTOS HOSPITALARES LTDA
For01105;13656820000420;SMITH & NEPHEW COMERCIO DE PRODUTOS MEDICOS LTDA.
For01106;23236167000151;NORTH MED DISTRIBUIDORA DE PRODUTOS MEDICOS E HOSPITALARES LTDA
For01107;74400052000191;COMERCIAL 3 ALBE LTDA.
For01108;05652247000106;Lumiar Helth Builders Equipamentos Hospitalares LTDA
For01109;02684044000103;CEZAR MARIANO
For01110;24140823000180;GABRIELA WISSMANN FABRICACAO DE ARTIGOS DO VESTUARIO
For01111;21284068000110;FARMATEX DO BRASIL S/A
For01112;24568268000192;ROBERTA MARTINS DA SILVA
For01113;03460480000161;A P LIMA PRODUTOS HOSPITALARES ME
For01114;66130642000113;ALL-TECH INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA.
For01115;29468746000106;RAMA COMERCIO E IMPORTACAO DE PRODUTOS PERSONALIZADOS LTDA
For01116;17875154000391;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.
For01117;33173097000193;CELLERA FARMACEUTICA S.A.
For01118;02955937000146;FORMED BR MATERIAIS MEDICOS E HOSPITALARES LTDA - EPP
For01119;49601107000427;FRESENIUS HEMOCARE BRASIL LTDA.
For01120;26942958000195;NSC COMERCIO DE PRODUTOS MEDICOS HOSPITALARES EIRELI
For01121;35820448009435;WHITE MARTINS GASES INDUSTRIAIS LTDA
For01122;04550922000123;INTERATIVA NUTRICAO CLINICA LTDA ME
For01123;00535818000109;M MARCHIORE COMERCIAL FARMACEUTICA LTDA
For01124;25101524000108;R&C DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS EIRELI
For01125;35230010000106;REPIFARMA COMERCIAL DE MEDICAMENTOS LTDA
For01126;10630293000225;ONCORIO DISTRIBUIDORA DE MEDICAMENTOS LTDA
For01127;23654188000197;ARAUCCOM INDUSTRIAL EIRELI
For01128;04709243000154;BS EQUIPAMENTOS, INDUSTRIA E COMERCIO LTDA - EPP
For01129;06127890000183;CONKAST VENDAS LTDA.
For01130;17523381000196;DROGARIA CRISOSTIMO LTDA
For01131;07415772000133;MICROSUTURE INDUSTRIA, COMERCIO, IMPORTACAO, EXPORTACAO E REPRESENTACAO DE MATERI
For01132;28387424000170;M MED COMERCIAL DE MEDICAMENTOS E PRODUTOS HOSPITALARES - EIRELI
For01133;27602134000139;HEALTH SANTA LUZIA LTDA
For01134;11174696000199;DROGARIA BORTOLINI LTDA
For01135;21707794000106;FASTLABOR COMERCIAL EIRELI
For01136;66969262000177;UNIT - INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LIMITADA - EPP
For01137;05993698000107;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA
For01138;02457692000127;QUALIQUIMICA ARTIGOS PARA LABORATORIOS LTDA
For01139;49324221002077;FRESENIUS KABI BRASIL LTDA.
For01140;01422569000108;DROGARIA E FARMACIA NUNES PEREIRA LTDA - EPP
For01141;26756192000154;CIRURGICA SOUZA RIO PRETO - EIRELI - ME
For01142;13469442000123;B. M. - PAPELARIA, ARTIGOS DE INFORMATICA E DESCARTAVEIS LTDA
For01143;20995679000103;MC MURA PEREIRA COMERCIO DE PRODUTOS FARMACEUTICOS
For01144;00192190000196;OFTALMOPHARMA INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
For01145;04506487000130;HELIANTO FARMACEUTICA LTDA - EPP
For01146;17365046000107;HAVERIM COMERCIAL LTDA
For01147;07626776000160;CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE LTDA - EPP
For01148;29884628000189;MEDICALL TOP COMERCIO DE PRODUTOS HOSPITALARES - EIRELI
For01149;33546315000198;K. S. EQUIPAMENTOS HOSPITALARES EIRELI
For01150;10468505000139;LIFE COMERCIO E SERVICOS EIRELI
For01151;61100244000130;FANEM LTDA
For01152;20489064000105;PROSPER COMERCIO E DISTRIBUICAO EIRELI - ME
For01153;03475822000117;BLUE OCEAN CONFECCOES S.A.
For01154;06907776000176;SAGRES - PRODUTOS FARMACEUTICOS - EIRELI
For01155;00029372000736;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES
For01156;21610147000173;CDA COMERCIAL DISTRIBUIDORA ARMINI LTDA
For01157;01578276000114;ASLI COMERCIAL EIRELI
For01158;11369348000177;FIX HOSPITALAR EIRELI
For01159;21685018000144;MH SUPRIMENTO E COMERCIO DE PRODUTOS MEDICOS LTDA
For01160;55126981000100;GFE DO BRASIL LIMITADA
For01161;21551379002141;BECTON DICKINSON INDUSTRIAS CIRURGICAS LTDA
For01162;03595984000199;JR LACERDA MATERIAL MEDICO HOSPITALAR EIRELI
For01163;15346274000104;HOSPLAB PRODUTOS HOSPITALARES E LABORATORIAL EIRELI
For01164;09560267000108;BETANIAMED COMERCIAL EIRELI - EPP
For01165;26685436000155;GOLD CARE COMERCIO DE MATERIAIS CIRURGICOS E HOSPITALARES LTDA
For01166;10903996000107;N. A. do Nascimento Almeida
For01167;13465838000100;ONCOLIVERY - DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA. - ME
For01168;34729047000102;NSA DISTRIBUIDORA DE MEDICAMENTOS EIRELI
For01169;29412918000120;MALTACARE DISTRIBUIDORA EIRELI
For01170;59375006000196;FARMACIA BESSI LTDA - ME
For01171;16926052000123;KILL & OHASHI LTDA
For01172;18096092000110;DEISE PILTZ
For01173;03779851000172;DISTRIBUIDORA DE MEDICAMENTOS CASTRO E MARQUES LTDA
For01174;13094578000104;SANOFI AVENTIS COMERCIAL E LOGISTICA LTDA
For01175;02160869000129;JAIR MAURO RIBEIRO
For01176;03460198000184;DISTRIBUIDORA VIDA LTDA
For01177;27117540000106;DISTRIBUIDORA HOSPITALAR RAMOS E MENDONCA LTDA
For01178;13056315000100;CENTRAX COMERCIAL LTDA
For01179;17992985000181;D M C MESSIAS EIRELI
For01180;24118004000137;ANGULAR PRODUTOS PARA SAUDE LTDA - ME
For01181;04707391000130;J E S FONSECA COMERCIO EIRELI EPP
For01182;11933772000100;ADL CONEXAO COMERCIAL LTDA - ME
For01183;06697493000228;REINALDO PERSONA FARMACIA DE MANIPULACAO EIRELI
For01184;00733472000153;DINAMICA ODONTO-HOSPITALAR LTDA - EPP
For01185;01242950000195;A L F COMERCIO DE PRODUTOS HOSPITALARES LTDA - EPP
For01186;55266308000175;DROGARIA DROGAVITA DE ITAPETININGA LTDA
For01187;28834716000103;CARMED DISTRIBUIDORA DE MEDICAMENTOS EIRELI
For01188;15834405000100;COMERCIAL BATUIRA EIRELI ME
For01189;58598368000183;KONIMAGEM COMERCIAL LTDA
For01190;29565364000109;C G FARMA DISTRIBUIDORA EIRELI
For01191;06964297000191;CIRURGICA SANTA MARIA COMERCIO DE ARTIGOS MEDICOS LTDA - EPP
For01192;32981941000140;I. C. LEMES DA SILVA
For01193;00647694000153;R N F DE SOUZA & CIA LTDA
For01194;02305767000154;MAT MED HOSPITALAR LTDA
For01195;30778749000125;G.P. VEZONO EIRELI
For01196;19338456000194;ALFRS INDUSTRIA DE MOVEIS LTDA
For01197;10368534000129;CIRURGICA PARMA LTDA
For01198;02501297000285;PHARLAB INDUSTRIA FARMACEUTICA S.A
For01199;61068755000112;SANVAL COMERCIO E INDUSTRIA LTDA
For01200;30540358000178;BIOGRAM COMERCIO DE INSUMOS FARMACEUTICOS LTDA
For01201;10569258000167;ESPACO SAUDE COMERCIO DE PRODUTOS HOSPITALARES LTDA - ME
For01202;33688692000161;DISMART DISTRIBUIDORA HOSPITALAR EIRELI
For01203;72677933000129;HMEDIC DISTRIBUIDORA DE MEDICAMENTOS LTDA
For01204;33013528000154;S N C DISTRIBUIDORA DE PRODUTOS HOSPITALARES EIRELI
For01205;08846431000185;LUIZ FRANCISCO EMYGDIO
For01206;14512806000173;NUTRILIFE NUTRICAO ESPORTIVA LTDA
For01207;26918586000161;DROGARIA DUARTE LTDA
For01208;05439635000294;ANTIBIOTICOS DO BRASIL LTDA.
For01209;35687208000105;PETBONE COMERCIO E INDUSTRIA DE ARTIGOS PARA ANIMAIS LTDA
For01210;37260261000150;MEDICAL SYSTEM BRASIL IMPORTACAO E COMERCIO DE PRODUTOS MEDICOS LTDA
For01211;36392321000126;IS7 IMPORTACAO, EXPORTACAO E COMERCIO DE PECAS LTDA
For01212;26581761000178;HIGIBEST COMERCIO E SERVICOS EIRELI
For01213;13097795000140;FARMACIA SANTA RITA DE CASSIA LTDA
For01214;26735921000196;NEW RIBE COMERCIAL EIRELI
For01215;33656835000153;INNOVARE INDUSTRIA E COMERCIO DE PECAS PLASTICAS EIRELI
For01216;03578434000161;CALUX COMERCIAL EIRELI
For01217;37365601000108;OLIVEIRA INDUSTRIA E COMERCIO LTDA
For01218;09213849000118;ELFORT IMPORTACAO E DISTRIBUICAO DE PRODUTOS EIRELI
For01219;37014740000197;MAPLE HOSPITALAR COMERCIO E SERVICOS EIRELI
For01220;11388997000115;STRA COMERCIO DE PRODUTOS PARA SAUDE LTDA
For01221;24728467000110;N. S. KARYDI EIRELI
For01222;07925705000169;AUROBINDO PHARMA PRODUTOS FARMACEUTICOS LIMITADA
For01223;23036879000127;SUPREME ARTIGOS DE PLASTICO LTDA
For01224;10772529000187;T. D. WILL
For01225;05667064000164;MARCOS AURELIO OGANDO DE OLIVEIRA - EPP
For01226;02350719000188;EQUIMED - PRODUTOS E EQUI. MEDICO HOSPITALAR E ODONTOLOGICO LTDA ME
For01227;22580510000118;UNIFAR DISTRIBUIDORA DE MEDICAMENTOS LTDA
For01228;00231468000197;CMH COMERCIAL MÉDICO HOSPITALAR LTDA. ME
For01229;09046469000136;YELO COMERCIO DE MATERIAIS HOSPITALARES LTDA
For01230;12942081000128;DANIELE DAGIOS - EPP
For01231;01463618000150;SERGILAB PRODUTOS HOSPITALARES E LABORATORIAIS EIRELI
For01232;78451614000187;A P TORTELLI REPRESENTAÇÕES COMERCIAIS LTDA
For01233;02537890000109;COFARMINAS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
For01234;30553793000137;JASMED DISTRIBUIDORA DE MEDICAMENTOS LTDA
For01235;32708161000120;PROLINE MATERIAL HOSPITALAR - EIRELI
For01236;07763606000128;SINERGIA COMERCIO E SERVICO LTDA ME
For01237;42180406000143;GUERBET PRODUTOS RADIOLOGICOS LIMITADA
For01238;05264280000169;MEDICATTO COMERCIO DE PRODUTOS MEDICO HOSPITALARES LTDA
For01239;60499639000195;ABBOTT PRODUTOS PARA SAUDE LTDA.
For01240;07415627000403;TKL IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS E HOSPITALARES LTDA
For01241;45453214003177;PROFARMA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS SA
For01242;03606635000125;FLEX HOSPITALAR LTDA
For01243;17602864000186;DELTA INDUSTRIA E COM. LTDA
For01244;06283056000187;CW ARTIGOS DO VESTUARIO EIRELI
For01245;35335996000170;C. OLIVEIRA PINTO JUNIOR LTDA
For01246;61129409000105;OPHTHALMOS S/A
For01247;07164711000140;FUFA-SC COMERCIO E REPRESENTACAO LTDA
For01248;20978588000160;NUTRIMIL COMERCIO DE PRODUTOS ALIMENTICIOS LTDA
For01249;92037480000183;FARMAMED PRODUTOS HOSPITALARES LTDA
For01250;31504150000166;POSITIVA COMERCIAL LTDA
For01251;16809398000141;HOPE COMERCIAL LTDA
For01252;31434320000183;RAVIMED DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA
For01253;01831385000100;BLISFARMA INDUSTRIA ALIMENTICIA LTDA
For01254;13229567000186;VENEZA - DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA - ME
For01255;32669289000122;SUPPLYMED DISTRIBUIDORA DE MEDICAMENTOS LTDA
For01256;01107391001263;SUPPORT PRODUTOS NUTRICIONAIS LTDA
For01257;31538876000110;DROGARIA POPULAR MELHOR PRECO RGS EIRELI
For01258;23720752000122;JARDIM COSMETICOS LTDA - ME
For01259;34686134000120;SNOP CORRELATOS INDUSTRIA E COMERCIO LTDA
For01260;21579468000152;TEKMARKET INDUSTRIA, COMERCIO E SERVICOS LTDA
For01261;33221055000180;RAMOS & PESSOA LTDA
For01262;06131330000100;VIVAMED EQUIPAMENTOS MEDICO-HOSPITALARES LTDA - EPP
For01263;04150605000462;MEDCITY PRODUTOS MEDICOS LTDA
For01264;37109539000193;C3 HEALTH SUPRIMENTOS MEDICOS E HOSPITALARES LTDA
For01265;26231202000138;BRAVONUTRI COMERCIO DE PRODUTOS NUTRICIONAIS EIRELI
For01266;03889336000145;PRO-VIDA COMERCIO DE EQUIPAMENTOS LTDA - EPP
For01267;29715704000122;B. DE OLIVEIRA BERGAMASCHO - PRODUTOS NUTRICIONAIS
For01268;25078142000100;RAFAEL NERES DA COSTA 36419550840
For01269;36830917000160;C & C HOSPITALAR LTDA - EPP
For01270;11697594000310;AGILLE COMERCIO DE MEDICAMENTOS LTDA
For01271;01324654000133;IMPORT HOSPITALAR EIRELI - EPP
For01272;08719794000150;CENTRAL DISTRIBUIDORA DE MEDICAMENTOS LTDA
For01273;28167665000103;SOS COMERCIO DE MATERIAIS MEDICOS HOSPITALARES EIRELI
For01274;26921908000202;HOSPFAR IND. E COM. DE PRODUTOS HOSPITALARES LTDA
For01275;33511513000116;DROGA SOL DISTRIBUIDORA DE MEDICAMENTOS LTDA
For01276;31030858000122;BAZA MEDICAMENTOS LTDA
For01277;26291613000119;EDERA DISTRIBUIDORA DE MEDICAMENTOS EIRELI - ME
For01278;06204131001653;PEROLA DISTRIBUICAO E LOGISTICA LTDA.
For01279;62413869000115;GIGANTE RECEM NASCIDO LTDA.
For01280;03869526000281;J.R.D. INDUSTRIA FARMACEUTICA LTDA
For01281;07118503000105;ATHOS COMERCIAL HOSPITALAR EIRELI
For01282;11112146000145;BIOTECH DIAGNOSTICA - COMERCIAL LTDA - ME
For01283;03505263000140;PRODUVALE PRODUTOS HOSPITALARES LTDA
For01284;08713696000105;SIRLENE APARECIDA PEREIRA DA SILVA
For01285;34440014000148;DEFERTEX INDUSTRIA E COMERCIO LTDA
For01286;24875483000136;ESSENCIAL RIO DISTRIBUIDORA DE PRODUTOS MEDICOS E HOSPITALARES EIRELI - ME
For01287;00969505000169;OLIVA & OLIVA FARMACIA LTDA
For01288;07936090000176;BIOMED DISTRIBUIDORA HOSPITALAR E LABORATORIAL NOSSA SENHORA DA CONCEICAO LTDA -
For01289;10769075000195;M A BATISTA EIRELI - ME
For01290;14308899000119;CIRURGICA OURO VERDE - COMERCIO DE MATERIAIS MEDICOS - EIRELI
For01291;03134249000188;MULTIFARMA COMERCIO DE PRODUTOS MEDICOS LTDA
For01292;05216859000156;BIOBASE INDUSTRIA E COMERCIO LTDA
For01293;34180445000112;DISMATH DISTRIBUIDORA DE MATERIAIS MEDICOS E HOSPITALARES LTDA
For01294;06209557000113;AM MEDICAL COMERCIO DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA
For01295;93305910000163;FUFAMED COMERCIO E IMPORTAÇÃO LTDA
For01296;92666817000111;SAAVEDRA REPRESENTAÇÕES LTDA
For01297;33851567000120;UNIAO SUL COMERCIAL DE ARTIGOS DA SAUDE LTDA
For01298;93480192000161;CIEX DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS CIRURGICOS LTDA
For01299;02881877000164;POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA
For01300;31085156000146;MACMED SOLUCOES EM SAUDE LTDA.
For01301;22077847000107;JOSE DANTAS DINIZ FILHO
For01302;30597921000144;IS 8 INTERNATIONAL SUPPLIES IMPORTACAO E COMERCIO DE PRODUTOS HOSPITALARES LTDA
For01303;12268625000207;E. A. BATISTA DA SILVA
For01304;35167731000100;TH7 HOSPITALAR PRODUTOS HOSPITALARES LTDA
For01305;34635183000133;PROMED ACESSORIA EM SAUDE EIRELI
For01306;13496848000103;DISTRIBUIDORA INTENSIVA MATERIAL MEDICO HOSPITALAR LTDA
For01307;32624131000136;COMERCIAL PROMOSTORE CONFECCOES - EIRELI
For01308;10675016000158;K MEDICA PRODUTOS MEDICO HOSPITALAR LTDA
For01309;02228938000199;D-X INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA - EPP
For01310;30788967000140;C. O DE SOUZA
For01311;23376715000149;OXIMONT GASES E MONTAGEM INDUSTRIAIS LTDA
For01312;60412327000100;ALCON LABORATÓRIOS DO BRASIL LTDA
For01313;06285066000151;OXIGENIO PIUMHI EIRELI
For01314;22355622000175;BIOMIG MATERIAIS MÉDICO-HOSPITALAR
For01315;15772566000109;L.D. FARMACEUTICA LTDA
For01316;35880234000155;D M COMERCIAL MEDICA LTDA
For01317;27256185000156;MEDBRANDS COMERCIO E DISTRIBUIDORA EIRELI
For01318;59309302000199;INJEX INDUSTRIAS CIRURGICAS LTDA
For01319;60665981000118;UNIÃO QUÍMICA FARM. NACIONAL S/A
For01320;08108696000186;DISTRIBUIDORA DE PRODUTOS G.C.R. EIRELI
For01321;43575877000466;DROGARIA NOVA ESPERANCA EIRELI
For01322;28470340000103;METROSAUDE COMERCIO DE MATERIAIS MEDICOS E HOSPITALARES LTDA
For01323;32838716000159;FARMAC PRODUTOS HOSPITALARES E LABORATORIAIS LTDA
For01324;18519219000167;POUSO FARMA HOSPITALAR LTDA
For01325;32875635000129;W.M.W COMERCIAL E MATERIAIS DE LIMPEZA LTDA.
For01326;30984346000132;DISTRIBUIDORA KLEAN LTDA
For01327;22218845000190;NUTRIMINAS COMERCIO DE NUTRICOES DIETETICAS E MATERIAIS HOSPITALARES LTDA - EPP
For01328;17545961000184;ICARAI DO BRASIL INDUSTRIA QUIMICA LTDA
For01329;04183656000148;DISTRICENTER DISTRIBUIDORA DE MEDICAMENTOS LTDA - EPP
For01330;11872656000110;HDL LOGISTICA HOSPITALAR LTDA.
For01331;22889282000162;ALMED ALDENIO DISTRIBUIDORA DE MEDICAMENTOS E MATERIAL MEDICO - HOSPITALAR LTDA -
For01332;17631154000184;ORION FARMACEUTICA LTDA
For01333;06697493000147;REINALDO PERSONA FARMACIA DE MANIPULACAO EIRELI
For01334;10778913000197;METAL SOLUTION DO BRASIL IND. E COM. DE MOVEIS LTDA - ME
For01335;13240906000125;AFH EQUIPAMENTOS HOSPITALARES LTDA.
For01336;00740696000192;PMH PRODUTOS MEDICOS HOSPITALARES LTDA
For01337;01987265000198;VALLITECH INDUSTRIA E COMERCIO DE ARTEFATOS METALICOS LTDA
For01338;65271900000119;NATIVITA INDUSTRIA E COMERCIO LTDA
For01339;23889701000129;ECOLOGY PAPER LTDA
For01340;26234900000197;LUCAS DELPHIM GUERRA DA SILVA
For01341;09070307000133;LICIT RIB COMERCIO ATACADISTA E VAREJISTA LTDA - EPP
For01342;03760925000129;FORMULLAR SANTA RITA LTDA
For01343;00542467000163;A B DESCARTAVEIS INDUSTRIA E COMERCIO - EIRELI
For01344;26640161000133;SAVIMED COMERCIO DE PRODUTOS MEDICOS LTDA - ME
For01345;13759813000292;SINGULAR DROGARIA E MEDICAMENTOS ESPECIAIS LTDA
For01346;20712427000120;I9 SOLUTIONS COMERCIO LTDA
For01347;09020873000130;FILMEX PRODUTOS MEDICOS E ODONTOLOGICOS LTDA
For01348;13163794000156;MONTALTEC SERVICOS LTDA
For01349;04168171000185;BIOLOGICAL LTDA
For01350;33951571000160;DANIEL FERNANDES ROMANO NETO - PAPELARIA
For01351;34016593000104;PENEDO DISTRIBUIDORA & SERVICOS EIRELI
For01352;08325711000490;BELEM FARMACIA E MANIPULACAO EIRELI
For01353;00350160000160;HOSP RIO MATERIAL HOSPITALAR LTDA EPP
For01354;04307650000135;ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA
For01355;17927869000189;JAMED COMERCIO E SERVICOS LTDA
For01356;09523533000122;DENTAL NITEROI LTDA - ME
For01357;10485530000120;J.A.ARAÚJO DO VALE
For01358;19845390000129;R. A. DA SILVA COMERCIO DE EQUIPAMENTOS - EPP
For01359;28467781000148;VEM EMPREENDIMENTOS COMERCIAIS LTDA
For01360;22870240000180;LOBIANCO & LIMA LTDA
For01361;59844662000190;LOKTAL MEDICAL ELECTRONICS INDUSTRIA E COMERCIO LTDA - EPP
